Designator,Mid X,Mid Y,Layer,Rotation
R758,75.6mm,55.1mm,Bottom,270.0
R759,79.2mm,56.2mm,Bottom,180.0
R760,80.1mm,58.15mm,Bottom,180.0
R761,79.2mm,53.7mm,Bottom,180.0
R762,80.65mm,51.0mm,Bottom,90.0
R763,77.5mm,51.3mm,Bottom,180.0
C751,82.1mm,55.0mm,Top,270.0
C752,87.0mm,54.3mm,Top,180.0
C754,87.0mm,55.6mm,Top,180.0
D751,83.9mm,57.5mm,Top,180.0
R751,77.5mm,51.3mm,Top,180.0
R752,75.6mm,55.1mm,Top,270.0
R753,79.2mm,53.7mm,Top,180.0
R754,79.2mm,56.2mm,Top,180.0
R755,83.4mm,55.0mm,Top,270.0
R756,87.0mm,57.45mm,Top,180.0
R757,84.9mm,55.0mm,Top,270.0
U751,84.8mm,51.8mm,Top,0.0
