Designator,Mid X,Mid Y,Layer,Rotation
D107,41.58619mm,69.55069mm,Bottom,180.0
D104,35.434290000000004mm,62.22609mm,Top,180.0
D103,35.434290000000004mm,60.42609mm,Top,180.0
C140,43.08119mm,65.86119000000001mm,Bottom,0.0
C132,40.64869mm,62.236290000000004mm,Bottom,90.0
C136,40.64869mm,60.16109mm,Bottom,270.0
C127,51.28119mm,53.20499mm,Bottom,0.0
C138,26.81509mm,69.23339mm,Bottom,90.0
C130,41.29869mm,55.11469mm,Bottom,0.0
C131,51.28119mm,52.06119mm,Bottom,0.0
C122,41.29869mm,57.269890000000004mm,Bottom,180.0
C114,57.14949mm,67.06119000000001mm,Top,0.0
C103,30.781190000000002mm,72.46119mm,Bottom,90.0
C113,57.14949mm,68.26119mm,Top,180.0
C102,30.98119mm,65.13569000000001mm,Bottom,180.0
U105,46.69059mm,61.11119000000001mm,Top,270.0
D415,16.950001mm,63.88719999999999mm,Bottom,270.0
R428,17.934401mm,50.4417mm,Bottom,90.0
R427,4.800001mm,49.087199999999996mm,Bottom,0.0
R426,16.325801mm,49.4471mm,Top,270.0
R425,15.017700999999999mm,56.5622mm,Top,90.0
R424,15.017700999999999mm,58.8593mm,Top,270.0
LED4,3.258101mm,48.198299999999996mm,Top,270.0
LED3,16.325801mm,51.596399999999996mm,Top,90.0
LED2,16.099101mm,56.587199999999996mm,Top,90.0
LED1,16.099101mm,58.8343mm,Top,270.0
R422,9.108401mm,48.087199999999996mm,Bottom,180.0
C426,15.340001mm,53.4872mm,Top,0.0
C425,12.650001mm,53.4872mm,Top,180.0
F410,9.807001mm,61.754mm,Top,0.0
C415,14.973400999999999mm,47.7872mm,Bottom,0.0
C414,13.998401000000001mm,57.2972mm,Bottom,180.0
U411,12.572201mm,52.4372mm,Bottom,90.0
D410,5.450001mm,61.45399999999999mm,Bottom,180.0
R411,5.548401mm,64.354mm,Bottom,270.0
D417,8.198401mm,64.5872mm,Bottom,180.0
C410,13.443000999999999mm,62.6472mm,Bottom,180.0
D412,9.100000999999999mm,65.204mm,Top,180.0
R410,6.3234010000000005mm,65.2372mm,Top,0.0
D413,9.100000999999999mm,63.57899999999999mm,Top,180.0
C411,8.173401mm,62.7872mm,Bottom,0.0
R413,8.173401mm,61.254mm,Bottom,0.0
D414,5.650001mm,62.7872mm,Bottom,0.0
D418,9.380001mm,57.587199999999996mm,Top,0.0
D416,14.251601mm,61.680899999999994mm,Top,180.0
U410,13.848400999999999mm,64.2872mm,Top,180.0
C412,13.443000999999999mm,64.68719999999999mm,Bottom,180.0
C413,11.473400999999999mm,63.8501mm,Top,90.0
D411,5.798401mm,62.7787mm,Top,0.0
U420,6.713401mm,53.678999999999995mm,Bottom,180.0
R420,10.823401mm,62.104099999999995mm,Bottom,90.0
C429,9.008401mm,49.087199999999996mm,Bottom,0.0
C427,9.729701mm,62.2891mm,Bottom,270.0
C428,6.819301mm,49.087199999999996mm,Bottom,180.0
C423,7.646601mm,59.178999999999995mm,Bottom,90.0
C421,8.838201mm,59.178999999999995mm,Bottom,90.0
C422,10.029701mm,59.178999999999995mm,Bottom,90.0
C424,6.450001mm,59.178999999999995mm,Bottom,270.0
R421,10.204701mm,57.417199999999994mm,Bottom,0.0
R423,6.919301mm,48.087199999999996mm,Bottom,180.0
D420,8.450001mm,47.087199999999996mm,Top,0.0
C420,5.400001mm,59.587199999999996mm,Bottom,270.0
L420,13.350000999999999mm,59.4872mm,Bottom,180.0
D421,13.700001mm,49.1264mm,Top,270.0
L421,7.950001mm,51.6872mm,Top,0.0
D752,83.875mm,72.7472mm,Bottom,90.0
D753,80.375mm,68.7972mm,Bottom,270.0
Q752,80.375mm,72.7472mm,Bottom,90.0
Q753,83.875mm,68.7972mm,Bottom,90.0
R758,72.725mm,71.3472mm,Bottom,270.0
R759,76.325mm,72.44720000000001mm,Bottom,180.0
R760,77.225mm,74.39720000000001mm,Bottom,180.0
R761,76.325mm,69.94720000000001mm,Bottom,180.0
R762,77.775mm,67.2472mm,Bottom,90.0
R763,74.625mm,67.5472mm,Bottom,180.0
C751,79.225mm,71.2472mm,Top,270.0
C752,84.125mm,70.5472mm,Top,180.0
C754,84.125mm,71.8472mm,Top,180.0
D751,81.025mm,73.7472mm,Top,180.0
R751,74.625mm,67.5472mm,Top,180.0
R752,72.725mm,71.3472mm,Top,270.0
R753,76.325mm,69.94720000000001mm,Top,180.0
R754,76.325mm,72.44720000000001mm,Top,180.0
R755,80.525mm,71.2472mm,Top,270.0
R756,84.125mm,73.69720000000001mm,Top,180.0
R757,82.025mm,71.2472mm,Top,270.0
U751,81.925mm,68.0472mm,Top,0.0
